time,Timestamp,AccelerationZ,AccelerationY,AccelerationX
1729249992163008800,0.4940087890625,10.01524543762207,1.9512743949890137,-0.3926490843296051
1729249992172998000,0.503997802734375,10.046369552612305,2.0159177780151367,-0.20350714027881622
1729249992182997800,0.513997802734375,9.967360496520996,1.965639591217041,-0.19871874153614044
1729249992192998000,0.523997802734375,9.687239646911621,1.8052281141281128,-0.33758243918418884
1729249992202997800,0.533997802734375,9.273042678833008,1.7166426181793213,-0.6129156351089478
1729249992212998000,0.543997802734375,8.885181427001953,1.699883222579956,-0.8858546018600464
1729249992222997800,0.553997802734375,8.626607894897461,1.6927006244659424,-1.05105459690094
1729249992232998000,0.563997802734375,8.430283546447754,1.721431016921997,-1.1180921792984009
1729249992242997800,0.573997802734375,8.245929718017578,1.8291701078414917,-1.0247182846069336
1729249992252998000,0.583997802734375,8.178892135620117,2.0159177780151367,-0.8403648138046265
1729249992262997800,0.593997802734375,8.183680534362793,2.2577321529388428,-0.6368576288223267
1729249992272998000,0.603997802734375,8.19565200805664,2.4444799423217773,-0.5434837937355042
1729249992282997800,0.613997802734375,8.245929718017578,2.655169725418091,-0.3998316824436188
1729249992292998000,0.623997802734375,8.365639686584473,2.851494312286377,-0.27054479718208313
1729249992302998800,0.633998779296875,8.447042465209961,2.9688100814819336,-0.1628057211637497
1729249992312998700,0.64399853515625,8.487744331359863,3.1028854846954346,-0.090979665517807
1729249992322998800,0.653998779296875,8.55717658996582,3.220201253890991,-0.05746084079146385
1729249992332998700,0.66399853515625,8.710405349731445,3.4093432426452637,0.011971008032560349
1729249992342999300,0.673999267578125,8.942642211914062,3.536235809326172,0.14604631066322327
1729249992353000000,0.684,9.059958457946777,3.5865142345428467,0.17717093229293823
1729249992362999800,0.693999755859375,9.210793495178223,3.581725835800171,0.1843535304069519
1729249992373000000,0.704,9.574711799621582,3.620033025741577,0.22266076505184174
1729249992382999800,0.713999755859375,10.032004356384277,3.6391866207122803,0.31124621629714966
1729249992393000000,0.724,10.427047729492188,3.56017804145813,0.4141969084739685
1729249992402999800,0.733999755859375,10.790966033935547,3.5218706130981445,0.48602294921875
1729249992413000000,0.744,11.219528198242188,3.4811692237854004,0.6105214357376099
1729249992422999800,0.753999755859375,11.631331443786621,3.3925838470458984,0.8619126081466675
1729249992433000000,0.764,11.885116577148438,3.28963303565979,1.048660397529602
1729249992443000000,0.774,12.074258804321289,3.220201253890991,1.1803414821624756
1729249992453000000,0.784,12.244246482849121,3.2968156337738037,1.2449848651885986
1729249992463000300,0.794000244140625,12.071864128112793,3.4093432426452637,1.1635819673538208
1729249992473000400,0.80400048828125,11.808502197265625,3.44765043258667,1.0989385843276978
1729249992483000300,0.814000244140625,11.590629577636719,3.3710360527038574,1.1827356815338135
1729249992493000400,0.82400048828125,11.585841178894043,3.3279404640197754,1.3527239561080933
1729249992503000300,0.834000244140625,11.662455558776855,3.361459255218506,1.4484920501708984
1729249992513000400,0.84400048828125,11.695974349975586,3.404554843902588,1.479616641998291
1729249992523000600,0.85400048828125,11.672032356262207,3.35667085647583,1.5418659448623657
1729249992533000400,0.86400048828125,11.528380393981934,3.179499864578247,1.678335428237915
1729249992543000800,0.874000732421875,11.32966136932373,2.9688100814819336,1.8100165128707886
1729249992553001000,0.8840009765625,11.07827091217041,2.760514497756958,1.922544002532959
1729249992563001000,0.8940009765625,11.025598526000977,2.5234885215759277,2.0254945755004883
1729249992573001000,0.9040009765625,11.174038887023926,2.2146365642547607,2.1140801906585693
1729249992583001000,0.9140009765625,11.324872970581055,1.845929503440857,2.183511972427368
1729249992593001000,0.9240009765625,11.478102684020996,1.4389152526855469,2.1308395862579346
1729249992603000600,0.93400048828125,11.521198272705078,1.2306196689605713,1.946485996246338
1729249992613000700,0.944000732421875,11.461342811584473,1.0007762908935547,1.7070658206939697
1729249992623000600,0.95400048828125,11.152490615844727,0.8595184087753296,1.5155296325683594
1729249992633000700,0.964000732421875,10.635343551635742,0.8020575642585754,1.3670891523361206
1729249992643000300,0.974000244140625,10.113407135009766,0.9074024558067322,1.2641384601593018
1729249992653000000,0.984,9.651326179504395,1.05105459690094,1.2737152576446533
1729249992662999800,0.993999755859375,9.234735488891602,1.2234370708465576,1.2521674633026123
1729249992673000000,1.004,8.877999305725098,1.3670891523361206,1.237802267074585
1729249992683000300,1.014000244140625,8.607454299926758,1.525106430053711,1.2401964664459229
1729249992693000200,1.024000244140625,8.492532730102539,1.6208745241165161,1.2401964664459229
1729249992703000600,1.03400048828125,8.494926452636719,1.7190368175506592,1.1851298809051514
1729249992713000700,1.044000732421875,8.5595703125,1.7836803197860718,1.1635819673538208
1729249992723000600,1.05400048828125,8.669703483581543,1.8794482946395874,1.1204863786697388
1729249992733000400,1.06400048828125,8.719982147216797,1.9129672050476074,0.9528923034667969
1729249992743000600,1.07400048828125,8.669703483581543,1.9991583824157715,0.790086567401886
1729249992753000400,1.08400048828125,8.631396293640137,2.1332337856292725,0.6368576288223267
1729249992763000600,1.09400048828125,8.588300704956055,2.296039342880249,0.5291185975074768
1729249992773000400,1.10400048828125,8.463802337646484,2.4827871322631836,0.4836287498474121
1729249992783000600,1.11400048828125,8.272266387939453,2.676717519760132,0.4381389021873474
1729249992793000400,1.12400048828125,8.111854553222656,2.8586769104003906,0.4141969084739685
1729249992803000800,1.134000732421875,8.004115104675293,3.0166940689086914,0.38067805767059326
1729249992813001000,1.1440009765625,7.93707799911499,3.160346269607544,0.3280056416988373
1729249992823001000,1.1540009765625,7.951443195343018,3.2537200450897217,0.2322375625371933
